scope,seed,category,sample_id,path,label,generator,b2_probability,a1_probability,b2_prediction,a1_prediction
genimage_unseen,42,both_wrong,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_019_glide_00095.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_019_glide_00095.jpg,1,GLIDE,0.4219935834407806,0.3838185667991638,0,0
genimage_unseen,42,both_wrong,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_022_glide_00054.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_022_glide_00054.jpg,1,GLIDE,0.3416749536991119,0.306059330701828,0,0
genimage_unseen,42,both_wrong,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_068_glide_00139.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_068_glide_00139.jpg,1,GLIDE,0.0959227383136749,0.1173590123653411,0,0
genimage_unseen,42,both_wrong,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_01_127_glide_00191.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_01_127_glide_00191.jpg,1,GLIDE,0.2593577802181244,0.393115222454071,0,0
genimage_unseen,42,both_wrong,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_03_339_glide_00196.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_03_339_glide_00196.jpg,1,GLIDE,0.3044052124023437,0.4868797957897186,0,0
genimage_unseen,42,b2_wrong_a1_correct,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_068_glide_00035.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_068_glide_00035.jpg,1,GLIDE,0.2859990298748016,0.5151336193084717,0,1
genimage_unseen,42,b2_wrong_a1_correct,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_068_glide_00058.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_068_glide_00058.jpg,1,GLIDE,0.2054435312747955,0.7018747329711914,0,1
genimage_unseen,42,b2_wrong_a1_correct,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_076_glide_00005.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_00_076_glide_00005.jpg,1,GLIDE,0.486662358045578,0.900782585144043,0,1
genimage_unseen,42,b2_wrong_a1_correct,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_01_115_glide_00107.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_01_115_glide_00107.jpg,1,GLIDE,0.3304550647735595,0.6935591697692871,0,1
genimage_unseen,42,b2_wrong_a1_correct,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_03_312_glide_00011.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_03_312_glide_00011.jpg,1,GLIDE,0.3215709626674652,0.5776941180229187,0,1
genimage_unseen,42,b2_correct_a1_wrong,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_04_493_glide_00137.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_04_493_glide_00137.jpg,1,GLIDE,0.650377094745636,0.4983122944831848,1,0
genimage_unseen,42,b2_correct_a1_wrong,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_07_752_glide_00121.jpg,data/raw/GenImage/GLIDE/train/ai/GLIDE_1000_200_07_752_glide_00121.jpg,1,GLIDE,0.8755250573158264,0.4082907438278198,1,0
